,text
14,"<|endoftext|>BeautifulSoup search string 'Elsie' inside tag 'a': soup.find_all('a', string='Elsie')<|endoftext|>"
15,"<|endoftext|>Convert a datetime object `my_datetime` into readable format `%B %d, %Y`: my_datetime.strftime('%B %d, %Y')<|endoftext|>"
16,<|endoftext|>parse string `s` to int when string contains a number: int(''.join(c for c in s if c.isdigit()))<|endoftext|>
17,<|endoftext|>add dictionary `{'class': {'section': 5}}` to key 'Test' of dictionary `dic`: dic['Test'].update({'class': {'section': 5}})<|endoftext|>
18,"<|endoftext|>transforming the string `s` into dictionary: dict(map(int, x.split(':')) for x in s.split(','))<|endoftext|>"
20,"<|endoftext|>find rows matching `(0,1)` in a 2 dimensional numpy array `vals`: np.where((vals == (0, 1)).all(axis=1))<|endoftext|>"
22,"<|endoftext|>build a dictionary containing the conversion of each list in list `[['two', 2], ['one', 1]]` to a key/value pair as its items: dict([['two', 2], ['one', 1]])<|endoftext|>"
23,"<|endoftext|>convert list `l` to dictionary having each two adjacent elements as key/value pair: dict(zip(l[::2], l[1::2]))<|endoftext|>"
24,<|endoftext|>assign float 9.8 to variable `GRAVITY`: GRAVITY = 9.8<|endoftext|>
25,"<|endoftext|>separate numbers from characters in string ""30m1000n20m"": re.findall('(([0-9]+)([A-Z]))', '20M10000N80M')<|endoftext|>"
26,"<|endoftext|>separate numbers and characters in string '20M10000N80M': re.findall('([0-9]+|[A-Z])', '20M10000N80M')<|endoftext|>"
27,"<|endoftext|>separate numbers and characters in string '20M10000N80M': re.findall('([0-9]+)([A-Z])', '20M10000N80M')<|endoftext|>"
28,"<|endoftext|>Get a list of  words from a string `Hello world, my name is...James the 2nd!` removing punctuation: re.compile('\\w+').findall('Hello world, my name is...James the 2nd!')<|endoftext|>"
29,"<|endoftext|>Convert string '03:55' into datetime.time object: datetime.datetime.strptime('03:55', '%H:%M').time()<|endoftext|>"
30,"<|endoftext|>request url 'https://www.reporo.com/' without verifying SSL certificates: requests.get('https://www.reporo.com/', verify=False)<|endoftext|>"
31,<|endoftext|>Extract values not equal to 0 from numpy array `a`: a[a != 0]<|endoftext|>
32,"<|endoftext|>map two lists `keys` and `values` into a dictionary: new_dict = {k: v for k, v in zip(keys, values)}<|endoftext|>"
33,"<|endoftext|>map two lists `keys` and `values` into a dictionary: dict((k, v) for k, v in zip(keys, values))<|endoftext|>"
34,"<|endoftext|>map two lists `keys` and `values` into a dictionary: dict([(k, v) for k, v in zip(keys, values)])<|endoftext|>"
35,"<|endoftext|>find the string matches within parenthesis from a string `s` using regex: m = re.search('\\[(\\w+)\\]', s)<|endoftext|>"
36,"<|endoftext|>Enable the SO_REUSEADDR socket option in socket object `s` to fix the error `only one usage of each socket address is normally permitted`: s.setsockopt(SOL_SOCKET, SO_REUSEADDR, 1)<|endoftext|>"
37,"<|endoftext|>append the sum of each tuple pair in the grouped list `list1` and list `list2` elements to list `list3`: list3 = [(a + b) for a, b in zip(list1, list2)]<|endoftext|>"
38,<|endoftext|>converting hex string `s` to its integer representations: [ord(c) for c in s.decode('hex')]<|endoftext|>
39,"<|endoftext|>sort list `student_tuples` by second element of each tuple in ascending and third element of each tuple in descending: print(sorted(student_tuples, key=lambda t: (-t[2], t[0])))<|endoftext|>"
40,"<|endoftext|>get list of duplicated elements in range of 3: [y for x in range(3) for y in [x, x]]<|endoftext|>"
41,<|endoftext|>read the contents of the file 'file.txt' into `txt`: txt = open('file.txt').read()<|endoftext|>
42,<|endoftext|>divide each element in list `myList` by integer `myInt`: myList[:] = [(x / myInt) for x in myList]<|endoftext|>
44,"<|endoftext|>replace white spaces in dataframe `df` with '_': df.replace(' ', '_', regex=True)<|endoftext|>"
45,"<|endoftext|>convert date `my_date` to datetime: datetime.datetime.combine(my_date, datetime.time.min)<|endoftext|>"
46,<|endoftext|>convert tuple `tst` to string `tst2`: tst2 = str(tst)<|endoftext|>
47,<|endoftext|>get modified time of file `file`: time.ctime(os.path.getmtime(file))<|endoftext|>
48,<|endoftext|>get creation time of file `file`: time.ctime(os.path.getctime(file))<|endoftext|>
49,<|endoftext|>get modification time of file `filename`: t = os.path.getmtime(filename)<|endoftext|>
50,<|endoftext|>get modification time of file `path`: os.path.getmtime(path)<|endoftext|>
51,<|endoftext|>get modified time of file `file`: print(('last modified: %s' % time.ctime(os.path.getmtime(file))))<|endoftext|>
52,<|endoftext|>get the creation time of file `file`: print(('created: %s' % time.ctime(os.path.getctime(file))))<|endoftext|>
53,<|endoftext|>get the creation time of file `path_to_file`: return os.path.getctime(path_to_file)<|endoftext|>
54,<|endoftext|>execute os command ''TASKKILL /F /IM firefox.exe'': os.system('TASKKILL /F /IM firefox.exe')<|endoftext|>
55,"<|endoftext|>split string `string` on whitespaces using a generator: return (x.group(0) for x in re.finditer(""[A-Za-z']+"", string))<|endoftext|>"
56,"<|endoftext|>Unpack each value in list `x` to its placeholder '%' in string '%.2f': """""", """""".join(['%.2f'] * len(x))<|endoftext|>"
57,"<|endoftext|>match regex pattern '(\\d+(\\.\\d+)?)' with string '3434.35353': print(re.match('(\\d+(\\.\\d+)?)', '3434.35353').group(1))<|endoftext|>"
58,"<|endoftext|>replace parentheses and all data within it with empty string '' in column 'name' of dataframe `df`: df['name'].str.replace('\\(.*\\)', '')<|endoftext|>"
59,<|endoftext|>create a list `result` containing elements form list `list_a` if first element of list `list_a` is in list `list_b`: result = [x for x in list_a if x[0] in list_b]<|endoftext|>
60,"<|endoftext|>generate all possible string permutations of each two elements in list `['hel', 'lo', 'bye']`: print([''.join(a) for a in combinations(['hel', 'lo', 'bye'], 2)])<|endoftext|>"
61,<|endoftext|>get a list of items form nested list `li` where third element of each item contains string 'ar': [x for x in li if 'ar' in x[2]]<|endoftext|>
62,<|endoftext|>Sort lists in the list `unsorted_list` by the element at index 3 of each list: unsorted_list.sort(key=lambda x: x[3])<|endoftext|>
63,<|endoftext|>Log message 'test' on the root logger.: logging.info('test')<|endoftext|>
64,"<|endoftext|>Return a subplot axes positioned by the grid definition `1,1,1` using matpotlib: fig.add_subplot(1, 1, 1)<|endoftext|>"
65,"<|endoftext|>Sort dictionary `x` by value in ascending order: sorted(list(x.items()), key=operator.itemgetter(1))<|endoftext|>"
66,"<|endoftext|>Sort dictionary `dict1` by value in ascending order: sorted(dict1, key=dict1.get)<|endoftext|>"
67,"<|endoftext|>Sort dictionary `d` by value in descending order: sorted(d, key=d.get, reverse=True)<|endoftext|>"
68,"<|endoftext|>Sort dictionary `d` by value in ascending order: sorted(list(d.items()), key=(lambda x: x[1]))<|endoftext|>"
69,"<|endoftext|>elementwise product of 3d arrays `A` and `B`: np.einsum('ijk,ikl->ijl', A, B)<|endoftext|>"
70,<|endoftext|>Print a string `card` with string formatting: print('I have: {0.price}'.format(card))<|endoftext|>
71,<|endoftext|>Write a comment `# Data for Class A\n` to a file object `f`: f.write('# Data for Class A\n')<|endoftext|>
72,<|endoftext|>move the last item in list `a` to the beginning: a = a[-1:] + a[:-1]<|endoftext|>
73,<|endoftext|>Parse DateTime object `datetimevariable` using format '%Y-%m-%d': datetimevariable.strftime('%Y-%m-%d')<|endoftext|>
74,"<|endoftext|>Normalize line ends in a string 'mixed': mixed.replace('\r\n', '\n').replace('\r', '\n')<|endoftext|>"
75,<|endoftext|>find the real user home directory using python: os.path.expanduser('~user')<|endoftext|>
76,<|endoftext|>index a list `L` with another list `Idx`: T = [L[i] for i in Idx]<|endoftext|>
77,<|endoftext|>get a list of words `words` of a file 'myfile': words = open('myfile').read().split()<|endoftext|>
78,<|endoftext|>Get a list of lists with summing the values of the second element from each list of lists `data`: [[sum([x[1] for x in i])] for i in data]<|endoftext|>
79,<|endoftext|>summing the second item in a list of lists of lists: [sum([x[1] for x in i]) for i in data]<|endoftext|>
80,<|endoftext|>sort objects in `Articles` in descending order of counts of `likes`: Article.objects.annotate(like_count=Count('likes')).order_by('-like_count')<|endoftext|>
81,<|endoftext|>return a DateTime object with the current UTC date: today = datetime.datetime.utcnow().date()<|endoftext|>
82,"<|endoftext|>create a list containing the multiplication of each elements at the same index of list `lista` and list `listb`: [(a * b) for a, b in zip(lista, listb)]<|endoftext|>"
83,"<|endoftext|>fetch smilies matching regex pattern '(?::|;|=)(?:-)?(?:\\)|\\(|D|P)' in string `s`: re.findall('(?::|;|=)(?:-)?(?:\\)|\\(|D|P)', s)<|endoftext|>"
84,"<|endoftext|>match the pattern '[:;][)(](?![)(])' to the string `str`: re.match('[:;][)(](?![)(])', str)<|endoftext|>"
85,<|endoftext|>convert a list of objects `list_name` to json string `json_string`: json_string = json.dumps([ob.__dict__ for ob in list_name])<|endoftext|>
86,<|endoftext|>create a list `listofzeros` of `n` zeros: listofzeros = [0] * n<|endoftext|>
87,"<|endoftext|>decode the string 'stringnamehere'  to UTF-8: stringnamehere.decode('utf-8', 'ignore')<|endoftext|>"
88,"<|endoftext|>Match regex pattern '((?:A|B|C)D)' on string 'BDE': re.findall('((?:A|B|C)D)', 'BDE')<|endoftext|>"
89,"<|endoftext|>Create a key `key` if it does not exist in dict `dic` and append element `value` to value.: dic.setdefault(key, []).append(value)<|endoftext|>"
90,"<|endoftext|>Get the value of the minimum element in the second column of array `a`: a[np.argmin(a[:, (1)])]<|endoftext|>"
91,<|endoftext|>extend dictionary `a` with key/value pairs of dictionary `b`: a.update(b)<|endoftext|>
92,"<|endoftext|>removing key values pairs with key 'mykey1' from a list of dictionaries `mylist`: [{k: v for k, v in d.items() if k != 'mykey1'} for d in mylist]<|endoftext|>"
94,"<|endoftext|>create 3 by 3 matrix of random numbers: numpy.random.random((3, 3))<|endoftext|>"
95,<|endoftext|>make new column 'C' in panda dataframe by adding values from other columns 'A' and 'B': df['C'] = df['A'] + df['B']<|endoftext|>
96,"<|endoftext|>create a list of values from the dictionary `programs` that have a key with a case insensitive match to 'new york': [value for key, value in list(programs.items()) if 'new york' in key.lower()]<|endoftext|>"
97,<|endoftext|>append a path `/path/to/main_folder` in system path: sys.path.append('/path/to/main_folder')<|endoftext|>
98,"<|endoftext|>get all digits in a string `s` after a '[' character: re.findall('\\d+(?=[^[]+$)', s)<|endoftext|>"
99,"<|endoftext|>python pickle/unpickle a list to/from a file 'afile': pickle.load(open('afile', 'rb'))<|endoftext|>"
101,<|endoftext|>count unique index values in column 'A' in pandas dataframe `ex`: ex.groupby(level='A').agg(lambda x: x.index.get_level_values(1).nunique())<|endoftext|>
102,"<|endoftext|>Create a pandas dataframe of values from a dictionary `d` which contains dictionaries of dictionaries: pd.concat(map(pd.DataFrame, iter(d.values())), keys=list(d.keys())).stack().unstack(0)<|endoftext|>"
103,"<|endoftext|>find out the number of non-matched elements at the same index of list `a` and list `b`: sum(1 for i, j in zip(a, b) if i != j)<|endoftext|>"
104,"<|endoftext|>make all keys lowercase in dictionary `d`: d = {(a.lower(), b): v for (a, b), v in list(d.items())}<|endoftext|>"
105,"<|endoftext|>sort list `list_` based on first element of each tuple and by the length of the second element of each tuple: list_.sort(key=lambda x: [x[0], len(x[1]), x[1]])<|endoftext|>"
106,<|endoftext|>trim whitespace in string `s`: s.strip()<|endoftext|>
107,<|endoftext|>trim whitespace (including tabs) in `s` on the left side: s = s.lstrip()<|endoftext|>
108,<|endoftext|>trim whitespace (including tabs) in `s` on the right side: s = s.rstrip()<|endoftext|>
109,<|endoftext|>trim characters ' \t\n\r' in `s`: s = s.strip(' \t\n\r')<|endoftext|>
110,"<|endoftext|>trim whitespaces (including tabs) in string `s`: print(re.sub('[\\s+]', '', s))<|endoftext|>"
111,"<|endoftext|>In Django, filter `Task.objects` based on all entities in ['A', 'P', 'F']: Task.objects.exclude(prerequisites__status__in=['A', 'P', 'F'])<|endoftext|>"
112,<|endoftext|>Change background color in Tkinter: root.configure(background='black')<|endoftext|>
113,"<|endoftext|>convert dict `result` to numpy structured array: numpy.array([(key, val) for key, val in result.items()], dtype)<|endoftext|>"
114,"<|endoftext|>Concatenate dataframe `df_1` to dataframe `df_2` sorted by values of the column 'y': pd.concat([df_1, df_2.sort_values('y')])<|endoftext|>"
115,"<|endoftext|>replace the last occurence of an expression '</div>' with '</bad>' in a string `s`: re.sub('(.*)</div>', '\\1</bad>', s)<|endoftext|>"
116,"<|endoftext|>get the maximum of 'salary' and 'bonus' values in a dictionary: print(max(d, key=lambda x: (d[x]['salary'], d[x]['bonus'])))<|endoftext|>"
117,<|endoftext|>Filter Django objects by `author` with ids `1` and `2`: Book.objects.filter(author__id=1).filter(author__id=2)<|endoftext|>
118,"<|endoftext|>split string 'fooxyzbar' based on case-insensitive matching using string 'XYZ': re.compile('XYZ', re.IGNORECASE).split('fooxyzbar')<|endoftext|>"
119,"<|endoftext|>get list of sums of neighboring integers in string `example`: [sum(map(int, s)) for s in example.split()]<|endoftext|>"
120,<|endoftext|>Get all the keys from dictionary `y` whose value is `1`: [i for i in y if y[i] == 1]<|endoftext|>
121,<|endoftext|>converting byte string `c` in unicode string: c.decode('unicode_escape')<|endoftext|>
122,"<|endoftext|>unpivot first 2 columns into new columns 'year' and 'value' from a pandas dataframe `x`: pd.melt(x, id_vars=['farm', 'fruit'], var_name='year', value_name='value')<|endoftext|>"
123,"<|endoftext|>add key ""item3"" and value ""3"" to dictionary `default_data `: default_data['item3'] = 3<|endoftext|>"
124,"<|endoftext|>add key ""item3"" and value ""3"" to dictionary `default_data `: default_data.update({'item3': 3, })<|endoftext|>"
125,"<|endoftext|>add key value pairs 'item4' , 4 and 'item5' , 5 to dictionary `default_data`: default_data.update({'item4': 4, 'item5': 5, })<|endoftext|>"
126,<|endoftext|>Get the first and last 3 elements of list `l`: l[:3] + l[-3:]<|endoftext|>
127,<|endoftext|>reset index to default in dataframe `df`: df = df.reset_index(drop=True)<|endoftext|>
128,"<|endoftext|>For each index `x` from 0 to 3, append the element at index `x` of list `b` to the list at index `x` of list a.: [a[x].append(b[x]) for x in range(3)]<|endoftext|>"
129,<|endoftext|>get canonical path of the filename `path`: os.path.realpath(path)<|endoftext|>
130,<|endoftext|>check if dictionary `L[0].f.items()` is in dictionary `a3.f.items()`: set(L[0].f.items()).issubset(set(a3.f.items()))<|endoftext|>
131,<|endoftext|>find all the indexes in a Numpy 2D array where the value is 1: zip(*np.where(a == 1))<|endoftext|>
133,<|endoftext|>Collapse hierarchical column index to level 0 in dataframe `df`: df.columns = df.columns.get_level_values(0)<|endoftext|>
134,"<|endoftext|>create a matrix from a list `[1, 2, 3]`: x = scipy.matrix([1, 2, 3]).transpose()<|endoftext|>"
135,"<|endoftext|>add character '@' after word 'get' in string `text`: text = re.sub('(\\bget\\b)', '\\1@', text)<|endoftext|>"
136,"<|endoftext|>get a numpy array that contains the element wise minimum of three 3x1 arrays: np.array([np.arange(3), np.arange(2, -1, -1), np.ones((3,))]).min(axis=0)<|endoftext|>"
137,"<|endoftext|>add a column 'new_col' to dataframe `df` for index in range: df['new_col'] = list(range(1, len(df) + 1))<|endoftext|>"
138,<|endoftext|>set environment variable 'DEBUSSY' equal to 1: os.environ['DEBUSSY'] = '1'<|endoftext|>
139,<|endoftext|>Get a environment variable `DEBUSSY`: print(os.environ['DEBUSSY'])<|endoftext|>
140,<|endoftext|>set environment variable 'DEBUSSY' to '1': os.environ['DEBUSSY'] = '1'<|endoftext|>
141,"<|endoftext|>update dictionary `b`, overwriting values where keys are identical, with contents of dictionary `d`: b.update(d)<|endoftext|>"
142,<|endoftext|>get all the values in column `b` from pandas data frame `df`: df['b']<|endoftext|>
143,"<|endoftext|>make a line plot with errorbars, `ebar`, from data `x, y, err` and set color of the errorbars to `y` (yellow): ebar = plt.errorbar(x, y, yerr=err, ecolor='y')<|endoftext|>"
144,<|endoftext|>find all files with extension '.c' in directory `folder`: results += [each for each in os.listdir(folder) if each.endswith('.c')]<|endoftext|>
145,<|endoftext|>add unicode string '1' to UTF-8 decoded string '\xc2\xa3': print('\xc2\xa3'.decode('utf8') + '1')<|endoftext|>
146,"<|endoftext|>lower-case the string obtained by replacing the occurrences of regex pattern '(?<=[a-z])([A-Z])' in string `s` with eplacement '-\\1': re.sub('(?<=[a-z])([A-Z])', '-\\1', s).lower()<|endoftext|>"
148,"<|endoftext|>format a string `num` using string formatting: """"""{0:.3g}"""""".format(num)<|endoftext|>"
149,"<|endoftext|>append the first element of array `a` to array `a`: numpy.append(a, a[0])<|endoftext|>"
150,"<|endoftext|>return the column for value 38.15 in dataframe `df`: df.ix[:, (df.loc[0] == 38.15)].columns<|endoftext|>"
151,<|endoftext|>merge 2 dataframes `df1` and `df2` with same values in a column 'revenue' with and index 'date': df2['revenue'] = df2.CET.map(df1.set_index('date')['revenue'])<|endoftext|>
152,<|endoftext|>load a json data `json_string` into variable `json_data`: json_data = json.loads(json_string)<|endoftext|>
153,<|endoftext|>convert radians 1 to degrees: math.cos(math.radians(1))<|endoftext|>
154,"<|endoftext|>count the number of integers in list `a`: sum(isinstance(x, int) for x in a)<|endoftext|>"
155,"<|endoftext|>replacing  '\u200b' with '*' in a string  using regular expressions: 'used\u200b'.replace('\u200b', '*')<|endoftext|>"
156,<|endoftext|>run function 'SudsMove' simultaneously: threading.Thread(target=SudsMove).start()<|endoftext|>
157,<|endoftext|>sum of squares values in a list `l`: sum(i * i for i in l)<|endoftext|>
158,"<|endoftext|>calculate the sum of the squares of each value in list `l`: sum(map(lambda x: x * x, l))<|endoftext|>"
159,"<|endoftext|>Create a dictionary `d` from list `iterable`: d = dict(((key, value) for (key, value) in iterable))<|endoftext|>"
160,"<|endoftext|>Create a dictionary `d` from list `iterable`: d = {key: value for (key, value) in iterable}<|endoftext|>"
161,"<|endoftext|>Create a dictionary `d` from list of key value pairs `iterable`: d = {k: v for (k, v) in iterable}<|endoftext|>"
162,"<|endoftext|>round off entries in dataframe `df` column `Alabama_exp` to two decimal places, and entries in column `Credit_exp` to three decimal places: df.round({'Alabama_exp': 2, 'Credit_exp': 3})<|endoftext|>"
163,"<|endoftext|>Make function `WRITEFUNCTION` output nothing in curl `p`: p.setopt(pycurl.WRITEFUNCTION, lambda x: None)<|endoftext|>"
164,<|endoftext|>return a random word from a word list 'words': print(random.choice(words))<|endoftext|>
165,"<|endoftext|>Find a max value of the key `count` in a nested dictionary `d`: max(d, key=lambda x: d[x]['count'])<|endoftext|>"
166,"<|endoftext|>get list of string elements in string `data` delimited by commas, putting `0` in place of empty strings: [(int(x) if x else 0) for x in data.split(',')]<|endoftext|>"
167,"<|endoftext|>split string `s` into a list of strings based on ',' then replace empty strings with zero: """""","""""".join(x or '0' for x in s.split(','))<|endoftext|>"
168,<|endoftext|>regular expression match nothing: re.compile('$^')<|endoftext|>
169,<|endoftext|>regular expression syntax for not to match anything: re.compile('.\\A|.\\A*|.\\A+')<|endoftext|>
170,<|endoftext|>create a regular expression object with a pattern that will match nothing: re.compile('a^')<|endoftext|>
171,<|endoftext|>drop all columns in dataframe `df` that holds a maximum value bigger than 0: df.columns[df.max() > 0]<|endoftext|>
172,<|endoftext|>check if date `yourdatetime` is equal to today's date: yourdatetime.date() == datetime.today().date()<|endoftext|>
173,<|endoftext|>print bold text 'Hello': print('\x1b[1m' + 'Hello')<|endoftext|>
174,"<|endoftext|>remove 20 symbols in front of '.' in string 'unique12345678901234567890.mkv': re.sub('.{20}(.mkv)', '\\1', 'unique12345678901234567890.mkv')<|endoftext|>"
175,"<|endoftext|>Define a list with string values `['a', 'c', 'b', 'obj']`: ['a', 'c', 'b', 'obj']<|endoftext|>"
176,"<|endoftext|>substitute multiple whitespace with single whitespace in string `mystring`: """""" """""".join(mystring.split())<|endoftext|>"
177,<|endoftext|>print a floating point number 2.345e-67 without any truncation: print('{:.100f}'.format(2.345e-67))<|endoftext|>
178,<|endoftext|>Check if key 'key1' in `dict`: ('key1' in dict)<|endoftext|>
179,<|endoftext|>Check if key 'a' in `d`: ('a' in d)<|endoftext|>
180,<|endoftext|>Check if key 'c' in `d`: ('c' in d)<|endoftext|>
181,"<|endoftext|>Check if a given key 'key1' exists in dictionary `dict`: if ('key1' in dict):
    pass<|endoftext|>"
182,"<|endoftext|>Check if a given key `key` exists in dictionary `d`: if (key in d):
    pass<|endoftext|>"
183,"<|endoftext|>create a django query for a list of values `1, 4, 7`: Blog.objects.filter(pk__in=[1, 4, 7])<|endoftext|>"
184,"<|endoftext|>read a binary file 'test/test.pdf': f = open('test/test.pdf', 'rb')<|endoftext|>"
185,"<|endoftext|>insert ' ' between every three digit before '.' and replace ',' with '.' in 12345678.46: format(12345678.46, ',').replace(',', ' ').replace('.', ',')<|endoftext|>"
186,"<|endoftext|>Join pandas data frame `frame_1` and `frame_2` with left join by `county_ID` and right join by `countyid`: pd.merge(frame_1, frame_2, left_on='county_ID', right_on='countyid')<|endoftext|>"
187,<|endoftext|>calculate ratio of sparsity in a numpy array `a`: np.isnan(a).sum() / np.prod(a.shape)<|endoftext|>
188,"<|endoftext|>reverse sort items in default dictionary `cityPopulation` by the third item in each key's list of values: sorted(iter(cityPopulation.items()), key=lambda k_v: k_v[1][2], reverse=True)<|endoftext|>"
189,"<|endoftext|>Sort dictionary `u` in ascending order based on second elements of its values: sorted(list(u.items()), key=lambda v: v[1])<|endoftext|>"
190,"<|endoftext|>reverse sort dictionary `d` based on its values: sorted(list(d.items()), key=lambda k_v: k_v[1], reverse=True)<|endoftext|>"
191,"<|endoftext|>sorting a defaultdict `d` by value: sorted(list(d.items()), key=lambda k_v: k_v[1])<|endoftext|>"
192,"<|endoftext|>open a file 'bundled-resource.jpg' in the same directory as a python script: f = open(os.path.join(__location__, 'bundled-resource.jpg'))<|endoftext|>"
193,"<|endoftext|>open the file 'words.txt' in 'rU' mode: f = open('words.txt', 'rU')<|endoftext|>"
194,<|endoftext|>divide the values with same keys of two dictionary `d1` and `d2`: {k: (float(d2[k]) / d1[k]) for k in d2}<|endoftext|>
195,<|endoftext|>divide the value for each key `k` in dict `d2` by the value for the same key `k` in dict `d1`: {k: (d2[k] / d1[k]) for k in list(d1.keys()) & d2}<|endoftext|>
196,"<|endoftext|>divide values associated with each key in dictionary `d1` from values associated with the same key in dictionary `d2`: dict((k, float(d2[k]) / d1[k]) for k in d2)<|endoftext|>"
197,"<|endoftext|>write dataframe `df` to csv file `filename` with dates formatted as yearmonthday  `%Y%m%d`: df.to_csv(filename, date_format='%Y%m%d')<|endoftext|>"
198,"<|endoftext|>remove a key 'key' from a dictionary `my_dict`: my_dict.pop('key', None)<|endoftext|>"
199,"<|endoftext|>replace NaN values in array `a` with zeros: b = np.where(np.isnan(a), 0, a)<|endoftext|>"
200,"<|endoftext|>subprocess run command 'start command -flags arguments' through the shell: subprocess.call('start command -flags arguments', shell=True)<|endoftext|>"
201,"<|endoftext|>run command 'command -flags arguments &' on command line tools as separate processes: subprocess.call('command -flags arguments &', shell=True)<|endoftext|>"
202,"<|endoftext|>replace percent-encoded code in request `f` to their single-character equivalent: f = urllib.request.urlopen(url, urllib.parse.unquote(urllib.parse.urlencode(params)))<|endoftext|>"
203,"<|endoftext|>remove white spaces from the end of string ""    xyz     "": """"""    xyz     """""".rstrip()<|endoftext|>"
204,<|endoftext|>Replace special characters in utf-8 encoded string `s` using the %xx escape: urllib.parse.quote(s.encode('utf-8'))<|endoftext|>
206,"<|endoftext|>Create an array containing the conversion of string '100110' into separate elements: np.array(map(int, '100110'))<|endoftext|>"
207,"<|endoftext|>convert a string 'mystr' to numpy array of integer values: print(np.array(list(mystr), dtype=int))<|endoftext|>"
208,"<|endoftext|>convert an rgb image 'messi5.jpg' into grayscale `img`: img = cv2.imread('messi5.jpg', 0)<|endoftext|>"
209,"<|endoftext|>sort list `lst` in descending order based on the second item of each tuple in it: lst.sort(key=lambda x: x[2], reverse=True)<|endoftext|>"
211,"<|endoftext|>execute shell command 'grep -r PASSED *.log | sort -u | wc -l' with a | pipe in it: subprocess.call('grep -r PASSED *.log | sort -u | wc -l', shell=True)<|endoftext|>"
212,<|endoftext|>count the number of trailing question marks in string `my_text`: len(my_text) - len(my_text.rstrip('?'))<|endoftext|>
213,"<|endoftext|>remove dollar sign '$' from second to last column data in dataframe 'df' and convert the data into floats: df[df.columns[1:]].replace('[\\$,]', '', regex=True).astype(float)<|endoftext|>"
214,"<|endoftext|>Merge column  'word' in dataframe `df2` with column 'word' on dataframe `df1`: df1.merge(df2, how='left', on='word')<|endoftext|>"
215,"<|endoftext|>switch positions of each two adjacent characters in string `a`: print(''.join(''.join(i) for i in zip(a2, a1)) + a[-1] if len(a) % 2 else '')<|endoftext|>"
216,"<|endoftext|>make a window `root` jump to the front: root.attributes('-topmost', True)<|endoftext|>"
217,<|endoftext|>make a window `root` jump to the front: root.lift()<|endoftext|>
218,"<|endoftext|>Convert list of booleans `walls` into a hex string: hex(int(''.join([str(int(b)) for b in walls]), 2))<|endoftext|>"
219,"<|endoftext|>convert the sum of list `walls` into a hex presentation: hex(sum(b << i for i, b in enumerate(reversed(walls))))<|endoftext|>"
220,"<|endoftext|>print the string `Total score for`, the value of the variable `name`, the string `is` and the value of the variable `score` in one print call.: print(('Total score for', name, 'is', score))<|endoftext|>"
221,"<|endoftext|>print multiple arguments 'name' and 'score'.: print('Total score for {} is {}'.format(name, score))<|endoftext|>"
222,"<|endoftext|>print a string using multiple strings `name` and `score`: print('Total score for %s is %s  ' % (name, score))<|endoftext|>"
223,"<|endoftext|>print string including multiple variables `name` and `score`: print(('Total score for', name, 'is', score))<|endoftext|>"
224,"<|endoftext|>serve a static html page 'your_template.html' at the root of a django project: url('^$', TemplateView.as_view(template_name='your_template.html'))<|endoftext|>"
225,"<|endoftext|>use a list of values `[3,6]` to select rows from a pandas dataframe `df`'s column 'A': df[df['A'].isin([3, 6])]<|endoftext|>"
227,<|endoftext|>execute python code `myscript.py` in a virtualenv `/path/to/my/venv` from matlab: system('/path/to/my/venv/bin/python myscript.py')<|endoftext|>
